year,program,artist,appearances,song,tags,type,origin,associated_acts
2015,NHK紅白歌合戦,郷ひろみ,28.0,2億4千万の瞳-エキゾチック・ジャパン-,"J-POP, R&B, アイドル, 歌謡曲, 演歌",maleソロ,Sue,酒井政利筒美京平萩田光雄井上鑑坂本龍一大村雅朗唐木裕史
2015,NHK紅白歌合戦,関ジャニ∞,4.0,前向きスクリーム!,"J-POP, エレクトロニック, ロック",maleソロ,Kōchi,
2015,NHK紅白歌合戦,髙橋真梨子,3.0,五番街のマリーへ2015[※ 22],J-POP,femaleソロ,Hatsukaichi,ヘンリー広瀬ペドロ&カプリシャス
2015,NHK紅白歌合戦,nan,0.0,アニメ紅白[※ 4],"J-POP, エレクトロニック, ロック",maleソロ,Kōchi,
2015,NHK紅白歌合戦,nan,0.0,ザッツ・SHOWTIME〜星に願いを〜[25][※ 10],"J-POP, エレクトロニック, ロック",maleソロ,Kōchi,
2015,NHK紅白歌合戦,nan,0.0,花は咲く,"J-POP, エレクトロニック, ロック",maleソロ,Kōchi,
2015,ベストアーティスト,AI,,,"J-POP, R&B, シンガーソングライター, ダンス, ヒップホップ",femaleソロ,Los Angeles,
2015,ベストアーティスト,AKB48,,,"J-POP, アイドル",Group,Akihabara,秋元康（総合プロデューサー）AKB48グループ
2015,ベストアーティスト,BREAKERZ,,,"J-POP, アニメ, ロック",Group,,
2015,ベストアーティスト,E-girls,,,"J-POP, シンガーソングライター, ロック",Group,New Jersey,
2015,ベストアーティスト,EXILE,,,"J-POP, R&B, ダンス",Group,,
2015,ベストアーティスト,GENERATIONS from EXILE TRIBE,,,"J-POP, アニメ",Group,Japan,
2015,ベストアーティスト,HKT48,,,J-POP,Group,Fukuoka,秋元康（プロデューサー）AKB48グループ
2015,ベストアーティスト,Hey! Say! JUMP,,,J-POP,Group,,
2015,ベストアーティスト,JUJU,,,"J-POP, R&B, 歌謡曲",femaleソロ,Shōbara,
2015,ベストアーティスト,KABA.ちゃん,,,"エレクトロニック, ロック",maleソロ,Kōchi,
2015,ベストアーティスト,KANA-BOON,,,"J-POP, アニメ, ロック",Group,Sakai,
2015,ベストアーティスト,KAT-TUN,,,"J-POP, バンド",Group,,
2015,ベストアーティスト,KinKi Kids,,,J-POP,Group,,プロデューサー山下達郎吉田拓郎藤島ジュリー景子堂島孝平コンサートマスター吉田建
2015,ベストアーティスト,NEWS,,,"J-POP, バンド",Group,Tokyo,
2015,ベストアーティスト,NMB48,,,J-POP,Group,Namba,秋元康（プロデューサー）剱持嘉一AKB48グループ
2015,ベストアーティスト,Perfume,,,"J-POP, ダンス",Group,Minami-ku,中田ヤスタカMIKIKO
2015,ベストアーティスト,SEKAI NO OWARI,,,"J-POP, アニメ, ロック",Group,Tokyo,CHRYSANTHEMUM BRIDGE小林武史
2015,ベストアーティスト,Superfly,,,"J-POP, ロック",Group,,蔦谷好位置多保孝一松岡モトキ
2015,ベストアーティスト,TOKIO,,,J-POP,Group,,
2015,ベストアーティスト,V6,,,"J-POP, バンド, ロック",Group,,
2015,ベストアーティスト,aiko,,,"J-POP, シンガーソングライター",femaleソロ,Suita,島田昌典OSTER projectトオミヨウ
2015,ベストアーティスト,いきものがかり,,,"J-POP, ロック",Group,Kanagawa,本間昭光亀田誠治島田昌典江口亮
2015,ベストアーティスト,きゃりーぱみゅぱみゅ,,,"J-POP, エレクトロニック",femaleソロ,Nishitōkyō,中田ヤスタカ増田セバスチャンMAIKO
2015,ベストアーティスト,クリス松村,,,"エレクトロニック, ロック",maleソロ,Kōchi,
2015,ベストアーティスト,ゲスの極み乙女。,,,"J-POP, ロック",Group,Tokyo,
2015,ベストアーティスト,ジャニーズWEST,,,"エレクトロニック, ロック",maleソロ,Kōchi,
2015,ベストアーティスト,ナオト・インティライミ,,,,maleソロ,,
2015,ベストアーティスト,ポルノグラフィティ,,,"J-POP, ロック",Group,,田村充義
2015,ベストアーティスト,三代目 J Soul Brothers from EXILE TRIBE,,,"J-POP, ダンス",Group,Japan,HIRO
2015,ベストアーティスト,乃木坂46,,,"J-POP, アイドル, 歌謡曲",Group,Minato,Sony Music Entertainment秋元康
2015,ベストアーティスト,山本彩,,,J-POP,femaleソロ,Osaka,亀田誠治小名川高弘剱持嘉一
2015,ベストアーティスト,嵐,,,"J-POP, ダンス, バンド",Group,Honolulu,
2015,ベストアーティスト,平井堅,,,"J-POP, R&B, シンガーソングライター",maleソロ,Higashiōsaka,
2015,ベストアーティスト,星野源,,,"J-POP, R&B, シンガーソングライター, ダンス",maleソロ,Saitama,"SAKEROCK（2000年 - 2015年）河村""カースケ""智康ハマ・オカモト長岡亮介ほか"
2015,ベストアーティスト,槇原敬之,,,"J-POP, シンガーソングライター",maleソロ,Takatsuki,
2015,ベストアーティスト,氣志團,,,"J-POP, ロック",Group,,阿部義晴
2015,ベストアーティスト,浜田ばみゅばみゅ,,,,maleソロ,,
2015,ベストアーティスト,秦基博,,,"J-POP, アニメ, シンガーソングライター",maleソロ,Nichinan,上田禎亀田誠治島田昌典福耳
2015,ベストアーティスト,西内まりや,,,"J-POP, シンガーソングライター",femaleソロ,Izumo,
2015,ベストアーティスト,西野カナ,,,"J-POP, シンガーソングライター",femaleソロ,Matsusaka,GIORGIO 13 CANCEMIDJ Mass MAD Izm*山口隆志
2015,ベストアーティスト,関ジャニ∞,,,"J-POP, エレクトロニック, ロック",maleソロ,Kōchi,
2015,ミュージックステーションスーパーライブ,AI,,,"J-POP, R&B, シンガーソングライター, ダンス, ヒップホップ",femaleソロ,Los Angeles,
2015,ミュージックステーションスーパーライブ,AKB48,,,"J-POP, アイドル",Group,Akihabara,秋元康（総合プロデューサー）AKB48グループ
2015,ミュージックステーションスーパーライブ,BABYMETAL,,,"J-POP, アイドル, ロック",Group,Tokyo,KOBAMETAL（プロデュース）
2015,ミュージックステーションスーパーライブ,BoA,,,"J-POP, K-POP, R&B, アイドル, シンガーソングライター",femaleソロ,Guri,GOT the beat
2015,ミュージックステーションスーパーライブ,E-girls,,,"J-POP, シンガーソングライター, ロック",Group,New Jersey,
2015,ミュージックステーションスーパーライブ,EXILE,,,"J-POP, R&B, ダンス",Group,,
2015,ミュージックステーションスーパーライブ,GENERATIONS,,,"J-POP, アニメ, エレクトロニック, ロック",maleソロ,Kōchi,
2015,ミュージックステーションスーパーライブ,Hey! Say! JUMP,,,J-POP,Group,,
2015,ミュージックステーションスーパーライブ,JUJU,,,"J-POP, R&B, 歌謡曲",femaleソロ,Shōbara,
2015,ミュージックステーションスーパーライブ,KAT-TUN,,,"J-POP, バンド",Group,,
2015,ミュージックステーションスーパーライブ,Kis-My-Ft2,,,"J-POP, バンド",Group,Tokyo,
2015,ミュージックステーションスーパーライブ,L'Arc〜en〜Ciel,,,"J-POP, ロック",Group,Osaka,"岡野ハジメ（共同プロデューサー, 1996年 - ）"
2015,ミュージックステーションスーパーライブ,Mr.Children,,,"J-POP, ロック, 歌謡曲",Group,Shibuya,小林武史（1992年 - 2014年)
2015,ミュージックステーションスーパーライブ,Perfume,,,"J-POP, ダンス",Group,Minami-ku,中田ヤスタカMIKIKO
2015,ミュージックステーションスーパーライブ,SEKAI NO OWARI,,,"J-POP, アニメ, ロック",Group,Tokyo,CHRYSANTHEMUM BRIDGE小林武史
2015,ミュージックステーションスーパーライブ,SMAP,,,"J-POP, バンド",Group,,
2015,ミュージックステーションスーパーライブ,Sexy Zone,,,"J-POP, エレクトロニック, ロック",maleソロ,Kōchi,
2015,ミュージックステーションスーパーライブ,Superfly,,,"J-POP, ロック",Group,,蔦谷好位置多保孝一松岡モトキ
2015,ミュージックステーションスーパーライブ,TOKIO,,,J-POP,Group,,
2015,ミュージックステーションスーパーライブ,X JAPAN,,,"J-POP, ロック",Group,Tateyama,津田直士
2015,ミュージックステーションスーパーライブ,YUKI,,,"J-POP, シンガーソングライター",femaleソロ,Hakodate,agehasprings玉井健二蔦谷好位置JUDY AND MARY前田佑
2015,ミュージックステーションスーパーライブ,aiko,,,"J-POP, シンガーソングライター",femaleソロ,Suita,島田昌典OSTER projectトオミヨウ
2015,ミュージックステーションスーパーライブ,back number,,,"J-POP, ロック",Group,Gunma,
2015,ミュージックステーションスーパーライブ,miwa,,,"J-POP, アニメ, シンガーソングライター",femaleソロ,Hayama,NAOKI-TQuatre-M
2015,ミュージックステーションスーパーライブ,いきものがかり,,,"J-POP, ロック",Group,Kanagawa,本間昭光亀田誠治島田昌典江口亮
2015,ミュージックステーションスーパーライブ,きゃりーぱみゅぱみゅ,,,"J-POP, エレクトロニック",femaleソロ,Nishitōkyō,中田ヤスタカ増田セバスチャンMAIKO
2015,ミュージックステーションスーパーライブ,ゆず,,,"J-POP, アニメ, ロック",Group,Yokohama,
2015,ミュージックステーションスーパーライブ,ゲスの極み乙女。,,,"J-POP, ロック",Group,Tokyo,
2015,ミュージックステーションスーパーライブ,コブクロ,,,J-POP,Group,,
2015,ミュージックステーションスーパーライブ,ゴールデンボンバー,,,"J-POP, ロック",Group,,tatsuo（everset）
2015,ミュージックステーションスーパーライブ,ジャニーズWEST,,,"エレクトロニック, ロック",maleソロ,Kōchi,
2015,ミュージックステーションスーパーライブ,ナオト・インティライミ,,,,maleソロ,,
2015,ミュージックステーションスーパーライブ,ポルノグラフィティ,,,"J-POP, ロック",Group,,田村充義
2015,ミュージックステーションスーパーライブ,三代目 J Soul Brothers,,,"J-POP, ダンス",Group,Japan,HIRO
2015,ミュージックステーションスーパーライブ,乃木坂46,,,"J-POP, アイドル, 歌謡曲",Group,Minato,Sony Music Entertainment秋元康
2015,ミュージックステーションスーパーライブ,家入レオ,,,,femaleソロ,,西尾芳彦
2015,ミュージックステーションスーパーライブ,嵐,,,"J-POP, ダンス, バンド",Group,Honolulu,
2015,ミュージックステーションスーパーライブ,星野源,,,"J-POP, R&B, シンガーソングライター, ダンス",maleソロ,Saitama,"SAKEROCK（2000年 - 2015年）河村""カースケ""智康ハマ・オカモト長岡亮介ほか"
2015,ミュージックステーションスーパーライブ,秦基博,,,"J-POP, アニメ, シンガーソングライター",maleソロ,Nichinan,上田禎亀田誠治島田昌典福耳
2015,ミュージックステーションスーパーライブ,稲葉浩志,,,"J-POP, シンガーソングライター, ロック",maleソロ,Tsuyama,松本孝弘（B'z）
2015,ミュージックステーションスーパーライブ,西野カナ,,,"J-POP, シンガーソングライター",femaleソロ,Matsusaka,GIORGIO 13 CANCEMIDJ Mass MAD Izm*山口隆志
2015,ミュージックステーションスーパーライブ,関ジャニ∞,,,"J-POP, エレクトロニック, ロック",maleソロ,Kōchi,
2016,NHK紅白歌合戦,AAA,7.0,ハリケーン・リリ、ボストン・マリ,J-POP,Group,Japan,
2016,NHK紅白歌合戦,AI,2.0,みんながみんな英雄,"J-POP, R&B, シンガーソングライター, ダンス, ヒップホップ",femaleソロ,Los Angeles,
2016,NHK紅白歌合戦,AKB48,9.0,夢の紅白選抜SPメドレー[※ 12],"J-POP, アイドル",Group,Akihabara,秋元康（総合プロデューサー）AKB48グループ
2016,NHK紅白歌合戦,E-girls,4.0,DANCE WITH ME NOW!,"J-POP, シンガーソングライター, ロック",Group,New Jersey,
2016,NHK紅白歌合戦,KinKi Kids,1.0,硝子の少年,J-POP,Group,,プロデューサー山下達郎吉田拓郎藤島ジュリー景子堂島孝平コンサートマスター吉田建
2016,NHK紅白歌合戦,PUFFY,1.0,PUFFY 20周年紅白スペシャル[※ 2],"J-POP, ロック, 歌謡曲",Group,Tokyo,奥田民生アンディ・スターマー
2016,NHK紅白歌合戦,Perfume,9.0,FLASH,"J-POP, ダンス",Group,Minami-ku,中田ヤスタカMIKIKO
2016,NHK紅白歌合戦,RADIO FISH,1.0,PERFECT HUMAN,"J-POP, ロック",maleソロ,Dalkeith,KOJIKARU
2016,NHK紅白歌合戦,RADWIMPS,1.0,前前前世 [original ver.],"J-POP, アニメ, ロック",Group,Yokohama,
2016,NHK紅白歌合戦,SEKAI NO OWARI,3.0,Hey Ho from RPG[※ 6],"J-POP, アニメ, ロック",Group,Tokyo,CHRYSANTHEMUM BRIDGE小林武史
2016,NHK紅白歌合戦,Sexy Zone,4.0,よびすて 紅白'16,"J-POP, エレクトロニック, ロック",maleソロ,Kōchi,
2016,NHK紅白歌合戦,THE YELLOW MONKEY,1.0,JAM,"J-POP, ロック, 歌謡曲",Group,Tokyo,
2016,NHK紅白歌合戦,TOKIO,23.0,宙船（そらふね）,J-POP,Group,,
2016,NHK紅白歌合戦,V6,3.0,Smile! メドレー[※ 8],"J-POP, バンド, ロック",Group,,
2016,NHK紅白歌合戦,X JAPAN,7.0,紅,"J-POP, ロック",Group,Tateyama,津田直士
2016,NHK紅白歌合戦,miwa,4.0,結 -ゆい-,"J-POP, アニメ, シンガーソングライター",femaleソロ,Hayama,NAOKI-TQuatre-M
2016,NHK紅白歌合戦,いきものがかり,9.0,SAKURA,"J-POP, ロック",Group,Kanagawa,本間昭光亀田誠治島田昌典江口亮
2016,NHK紅白歌合戦,ゆず,7.0,見上げてごらん夜の星を 〜ぼくらのうた〜,"J-POP, アニメ, ロック",Group,Yokohama,
2016,NHK紅白歌合戦,ピコ太郎,0.0,PPAP（ペンパイナッポーアッポーペン）,J-POP,maleソロ,Aomori,
2016,NHK紅白歌合戦,三代目 J Soul Brothers,5.0,Welcome to TOKYO,"J-POP, ダンス",Group,Japan,HIRO
2016,NHK紅白歌合戦,三山ひろし,2.0,四万十川〜けん玉大使編〜,"歌謡曲, 演歌",maleソロ,Nankoku,
2016,NHK紅白歌合戦,乃木坂46,2.0,サヨナラの意味,"J-POP, アイドル, 歌謡曲",Group,Minato,Sony Music Entertainment秋元康
2016,NHK紅白歌合戦,五木ひろし,46.0,九頭竜川,"歌謡曲, 演歌",maleソロ,Kyoto,
2016,NHK紅白歌合戦,坂本冬美,28.0,夜桜お七,"J-POP, 歌謡曲, 演歌",femaleソロ,Kamitonda,
2016,NHK紅白歌合戦,大竹しのぶ,1.0,愛の讃歌,,femaleソロ,Shinagawa,
2016,NHK紅白歌合戦,天童よしみ,21.0,あんたの花道,"歌謡曲, 演歌",femaleソロ,Tanabe,
2016,NHK紅白歌合戦,宇多田ヒカル,1.0,花束を君に [※ 15],"J-POP, R&B, アニメ, シンガーソングライター, ダンス",non-binaryソロ,Manhattan,A・G・クック小袋成彬スティーヴ・フィッツモーリス
2016,NHK紅白歌合戦,山内惠介,2.0,流転の波止場〜究極の貴公子編〜,演歌,maleソロ,Itoshima,
2016,NHK紅白歌合戦,島津亜矢,3.0,川の流れのように,"J-POP, 歌謡曲, 演歌",femaleソロ,Kita-ku,
2016,NHK紅白歌合戦,嵐,8.0,嵐×紅白スペシャルメドレー[※ 16],"J-POP, ダンス, バンド",Group,Honolulu,
2016,NHK紅白歌合戦,市川由紀乃,1.0,心かさねて,"歌謡曲, 演歌",femaleソロ,Saitama,
2016,NHK紅白歌合戦,星野源,2.0,恋,"J-POP, R&B, シンガーソングライター, ダンス",maleソロ,Saitama,"SAKEROCK（2000年 - 2015年）河村""カースケ""智康ハマ・オカモト長岡亮介ほか"
2016,NHK紅白歌合戦,松田聖子,20.0,薔薇のように咲いて 桜のように散って,"J-POP, アイドル, ダンス, 歌謡曲, 演歌",femaleソロ,Kurume,"若松宗雄（1980年 - 1989年, 2000年 - 2003年）大村雅朗（1980年 - 1989年）[4]松本隆（1981年 - 1988年, 1999年, 2015年）小倉良（1992年 - 1998年, 2000年, 2002年, 2005年 - 2015年）原田真二（2000年 - 2004年）"
2016,NHK紅白歌合戦,桐谷健太,1.0,海の声〜みんなの海の声バージョン〜,J-POP,maleソロ,Kita-ku,
2016,NHK紅白歌合戦,椎名林檎,4.0,青春の瞬き -FROM NEO TOKYO 2016-[※ 7],"シンガーソングライター, ロック",femaleソロ,Fukuoka,東京事変亀田誠治斎藤ネコ井上雨迩中山信彦村田陽一児玉裕一
2016,NHK紅白歌合戦,欅坂46,1.0,サイレントマジョリティー,"J-POP, アイドル",Group,,Sony Music Entertainment秋元康（プロデューサー）
2016,NHK紅白歌合戦,水森かおり,14.0,越後水原〜白鳥飛翔〜,"歌謡曲, 演歌",femaleソロ,Kita,
2016,NHK紅白歌合戦,氷川きよし,17.0,白雲の城[※ 14],"J-POP, アニメ, 歌謡曲, 演歌",maleソロ,Minami-ku,
2016,NHK紅白歌合戦,渡辺直美,0.0,Crazy in Love,"J-POP, ロック",femaleソロ,Seika,
2016,NHK紅白歌合戦,石川さゆり,39.0,天城越え,"J-POP, 歌謡曲, 演歌",femaleソロ,Kumamoto,
2016,NHK紅白歌合戦,福山雅治,9.0,2016スペシャルメドレー[※ 11],"J-POP, シンガーソングライター, 歌謡曲",maleソロ,Nagasaki,井上鑑KOH+
2016,NHK紅白歌合戦,福田こうへい,3.0,東京五輪音頭,演歌,maleソロ,Shizukuishi,
2016,NHK紅白歌合戦,絢香,8.0,三日月,"J-POP, 歌謡曲",femaleソロ,Moriguchi,西尾芳彦
2016,NHK紅白歌合戦,西野カナ,7.0,Dear Bride,"J-POP, シンガーソングライター",femaleソロ,Matsusaka,GIORGIO 13 CANCEMIDJ Mass MAD Izm*山口隆志
2016,NHK紅白歌合戦,郷ひろみ,29.0,言えないよ,"J-POP, R&B, アイドル, 歌謡曲, 演歌",maleソロ,Sue,酒井政利筒美京平萩田光雄井上鑑坂本龍一大村雅朗唐木裕史
2016,NHK紅白歌合戦,関ジャニ∞,5.0,ズッコケ男道〜紅白で夢を歌おう〜,"J-POP, エレクトロニック, ロック",maleソロ,Kōchi,
2016,NHK紅白歌合戦,香西かおり,19.0,すき〜真田丸スペシャルVer.〜,"歌謡曲, 演歌",femaleソロ,Minato-ku,
2016,NHK紅白歌合戦,髙橋真梨子,4.0,ごめんね…,J-POP,femaleソロ,Hatsukaichi,ヘンリー広瀬ペドロ&カプリシャス
2016,NHK紅白歌合戦,nan,0.0,ふるさと,"J-POP, エレクトロニック, ロック",maleソロ,Kōchi,
2016,ベストアーティスト,AI,,,"J-POP, R&B, シンガーソングライター, ダンス, ヒップホップ",femaleソロ,Los Angeles,
2016,ベストアーティスト,E-girls,,,"J-POP, シンガーソングライター, ロック",Group,New Jersey,
2016,ベストアーティスト,EXILE THE SECOND,,,"J-POP, R&B",Group,,
2016,ベストアーティスト,GENERATIONS from EXILE TRIBE,,,"J-POP, アニメ",Group,Japan,
2016,ベストアーティスト,HKT48,,,J-POP,Group,Fukuoka,秋元康（プロデューサー）AKB48グループ
2016,ベストアーティスト,Hey! Say! JUMP,,,J-POP,Group,,
2016,ベストアーティスト,JUJU,,,"J-POP, R&B, 歌謡曲",femaleソロ,Shōbara,
2016,ベストアーティスト,KinKi Kids,,,J-POP,Group,,プロデューサー山下達郎吉田拓郎藤島ジュリー景子堂島孝平コンサートマスター吉田建
2016,ベストアーティスト,Kis-My-Ft2,,,"J-POP, バンド",Group,Tokyo,
2016,ベストアーティスト,NEWS,,,"J-POP, バンド",Group,Tokyo,
2016,ベストアーティスト,NMB48,,,J-POP,Group,Namba,秋元康（プロデューサー）剱持嘉一AKB48グループ
2016,ベストアーティスト,Perfume,,,"J-POP, ダンス",Group,Minami-ku,中田ヤスタカMIKIKO
2016,ベストアーティスト,SEKAI NO OWARI,,,"J-POP, アニメ, ロック",Group,Tokyo,CHRYSANTHEMUM BRIDGE小林武史
2016,ベストアーティスト,SKE48,,,"J-POP, アイドル",Group,Nagoya,秋元康（プロデューサー）AKB48グループ
2016,ベストアーティスト,Sexy Zone,,,"J-POP, エレクトロニック, ロック",maleソロ,Kōchi,
2016,ベストアーティスト,THE YELLOW MONKEY,,,"J-POP, ロック, 歌謡曲",Group,Tokyo,
2016,ベストアーティスト,TOKIO,,,J-POP,Group,,
2016,ベストアーティスト,V6,,,"J-POP, バンド, ロック",Group,,
2016,ベストアーティスト,aiko,,,"J-POP, シンガーソングライター",femaleソロ,Suita,島田昌典OSTER projectトオミヨウ
2016,ベストアーティスト,back number,,,"J-POP, ロック",Group,Gunma,
2016,ベストアーティスト,いきものがかり,,,"J-POP, ロック",Group,Kanagawa,本間昭光亀田誠治島田昌典江口亮
2016,ベストアーティスト,きゃりーぱみゅぱみゅ,,,"J-POP, エレクトロニック",femaleソロ,Nishitōkyō,中田ヤスタカ増田セバスチャンMAIKO
2016,ベストアーティスト,ゆず,,,"J-POP, アニメ, ロック",Group,Yokohama,
2016,ベストアーティスト,ジャニーズWEST,,,"エレクトロニック, ロック",maleソロ,Kōchi,
2016,ベストアーティスト,スティング,,,"エレクトロニック, ロック",maleソロ,Kōchi,
2016,ベストアーティスト,ピコ太郎,,,J-POP,maleソロ,Aomori,
2016,ベストアーティスト,ポルノグラフィティ,,,"J-POP, ロック",Group,,田村充義
